hastalık,nedir,belirtiler
Kireçlenme,"Diz kireçlenmesi(kalsifikasyon), diz ekleminde kalsiyum birikmesini ifade eder ve genellikle bağlar, tendonlar veya kıkırdak gibi çeşitli yapıları etkileyebilen bir durumdur. En yaygın romatizmal hastalık olan kireçlenme, genellikle dizin yumuşak dokularında kemik benzeri yapıların birikmesi sonucu oluşur. Diz kireçlenmesinin yaygın bir formu menisküs kalsifikasyonu olarak bilinir.Menisküskalsifikasyonunda diz ekleminde bulunan kama şeklindeki kıkırdak olan menisküs bölgesinde kalsifiye birikimler gözlenir. Bu, yaşlanma, dejeneratif değişiklikler veya kronik iltihaptan kaynaklanabilir.","Dizde kireçlenme belirtileri, spesifik olarak etkilenen yapılar ve kalsifikasyonun derecesine bağlı olarak değişebilir. Yaygınkireçlenme belirtilerişunları içerebilir: Ağrı: Diz kalsifikasyonu olan bireyler ağrı yaşayabilir, bu ağrı hafiften şiddetliye kadar değişebilir. Ağrı genellikle etkilenen bölgeye lokalize olabilir ve diz üzerine baskı yapmak veya hareket etmekle şiddetlenebilir.Sertlik: Dizdeki kalsifikasyon, sertliğe neden olabilir ve bireylerin dizlerini tamamen bükmesini veya düzleştirmesini zorlaştırabilir. Bu, günlük aktiviteleri etkileyebilir.Şişlik: Diz kalsifikasyonu ile birlikte iltihap gelişebilir, bu da etkilenen eklemin çevresinde şişmeye neden olabilir. Şişlik, sertlik ve rahatsızlık hissine katkıda bulunabilir.Hareket Aralığının Azalması: Dizdeki yumuşak dokulardaki kalsiyum birikimi, eklemin normal şekilde hareket etmesini kısıtlayabilir. Hareket aralığındaki azalma, yürüme, merdiven çıkma veya diz üstü çökme gibi hareket kısıtları yaratır.Hassasiyet: Kireçli romatizma belirtileri arasında hassasiyet de vardır. Kalsifiye birikimlere veya çevresine baskı yapmak ağrı veya rahatsızlık hissine neden olabilir."
Kistik Fibrozis,,"Kistik fibrozis birçok sistemi tutabilir ve bu sistemlere ait şikayetler ortaya çıkabilir. En çok tutulan organ akciğerler olup, üst ve alt solunum yolları, karaciğer, bağırsaklar, pankreas, ter bezleri ve üreme sistemi hastalıktan etkilenebilir.Kistik fibrozisin en sık görülen şikayetleri şunlardır: Yenidoğan döneminde ilk 2 günde gaita (kaka) çıkartamayan bebeklerUzamış sarılıkTedaviye dirençli ya da tekrarlayan öksürük, hırıltı/hışıltı, akciğer enfeksiyonlarıTekrarlayan bronşitTedaviye dirençli ağır ve zor astımKronik balgam çıkartma ve kanlı balgamSolunum yetmezliğiKronik ya da tekrarlayan sinüziAkciğer grafisi ya da tomografisinde bronşlarda kalınlaşma, bronşiektazi (Bronş genişliği) ya da atelektazi (Akciğer sönmesi) olanlarAşırı terleme ve terin tuzlu olması, öpüldüğünde tuzlu tat alınmasıTerleme ile sıvı kaybı yaşayanlarBüyüme geriliği, yeterli kilo alamama, kilo alımında azlık ya da duraklamaVitamin eksiklikleriYağlı, kokulu tekrarlayan ishallerKronik kabızlık ve barsak tıkanmalarıSebebi açıklanamayan karaciğer enzim yükseklikleri, karaciğerde yağlanma ve büyüme, karaciğer yetmezliği ve safra stazı bulgularıDiyabet ve kronik pankreatitSebebi açıklanamayan ergenlik gecikmesi ve infertilite (Kısırlık)"
Klostrofobi,,
Kolestrol,Kolesterol yağ türü olduğu için suda çözünmez bu yüzden de kanda tek başına dolaşmaz. Karaciğerde üretilen ve lipoprotein adı verilen maddeler kolesterolün kanda taşınarak dokulara dağıtılmasını sağlar.,
Kolon (Kalın Bağırsak) Kanseri,"Kolon kanseri, kalın bağırsağın iç astarındaki hücrelerin anormal ve kontrolsüz bir şekilde büyümesi ile ortaya çıkan bir kanser türüdür. Kalın bağırsak, sindirim sisteminin son kısmıdır ve yemeklerden sonra kalan atıkların vücuttan atılmasını sağlar. Kolon kanseri, kalın bağırsağın herhangi bir yerinde ortaya çıkabilir, ancak en sık kolonun son kısmı olan rektumda görülür. Kalın bağırsak kanseri olarak da isimlendirilen hastalığın teşhisi için konusunda uzman hekimlerin tetkiki gerekir.","Kolon kanseri, erken evrelerde sessiz seyredebilir. Ancak ilerledikçe bazıbelirti ve bulgularortaya çıkabilir. Bu belirtiler başka hastalıklarda da görülebilir; ancak uzun süre devam etmeleri durumunda mutlaka hekime başvurulmalıdır. Sürekli ishal, kabızlık ya da her iki durumun dönüşümlü yaşanmasıNormal dışkılama düzeninde bozulmaDışkı çapında incelme (şerit gibi dışkı)"
Kunduracı Göğsü,"Kunduracı göğsü nedir? sorusunu kısaca kunduracı göğsü, tıp dilinde ""pectus carinatum"" olarak bilinen, göğüs kafesinin öne doğru çıkıntı yapmasıyla karakterize bir durumdur diye cevaplandırabiliriz. Bu bozukluk, göğüs kemiğinin (sternum) ve kaburgaların gelişiminde anormal bir şekil değişikliğine neden olur, bu da göğsün normalden daha dışa doğru çıkmasına yol açar.",
Lenfödem,,
Lösemi (Kan Kanseri),"""Lösemi nedir?"" sorusunu, kemik iliğindeki akyuvarların kontrolsüz çoğalması sonucu oluşan birkan kanseritürüdür şeklinde cevaplayabiliriz. Bu durum, vücudun bakteri ve virüslere karşı savunmasını zayıflatır ve çeşitli belirtilere yol açabilir. Lösemi, akut ve kronik olmak üzere iki ana gruba ayrılır.Akut lösemi, hızlı gelişen ve tedavi edilmediği takdirde ölümcül olabilen bir hastalıktır. Kronik lösemi ise daha yavaş gelişir ve tedavi edilebilir. ""Lösemi neden olur?"" sorusunun cevabını bulabilmek adına belirtilerin tespiti ile hızlı ve doğru teşhiş önem arz etmektedir.","Lösemi belirtileri, halsizlik, sürekli ateş, enfeksiyonlar, kolay morarma ve kanama, boyun, koltuk altı veya kasık bölgelerinde şişmiş lenf bezleri, kemik ağrıları, kilo kaybı, iştahsızlık ve ciltte mor veya kırmızı lekeler gibi çeşitli belirtileri içerebilir.Kan kanseri belirtileri, lösemi türüne ve evresine göre değişebilir ve hastanın sağlık durumu üzerinde etkisi olabilir. Erken teşhis ve tedavi, lösemi hastaları için hayati öneme sahiptir. Akut Lenfoblastik Lösemi (ALL): ALL, genellikle çocukluk döneminde görülen bir lösemi türüdür. Lenfoblastlar adı verilen olgunlaşmamış lenfositlerin aşırı üretimi ile karakterizedir. Hızla ilerler ve hızlı tedavi gerektirir.Akut Miyeloblastik Lösemi (AML): AML, her yaşta ortaya çıkabilen bir lösemi türüdür. Miyeloblastlar adı verilen myeloid hücrelerin anormal bir şekilde büyüdüğü ve çoğaldığı bir durumdur. AML hızlı bir seyir gösterir ve tedavi gerektirir.Kronik Lenfositik Lösemi (CLL): CLL, genellikle orta yaş ve üstü yetişkinlerde görülür. Lenfositlerin yavaş büyüdüğü ve uzun süreli bir seyir gösterdiği bir türdür. Semptomlar daha hafif olabilir ve tedavi gerekmeyebilir.Kronik Miyeloid Lösemi (CML): CML, genellikle yetişkinlerde görülür. Myeloid hücrelerin anormal bir şekilde üretildiği bir türdür. İleri evrelerde daha hızlı bir seyir gösterebilir."
Lupus Hastalığı,"Kelebek hastalığı, tam adıyla sistemik lupus eritematozus (SLE) olarak da bilinen bir otoimmün hastalıktır.Lupus hastalığı nedir?sorusuna vereceğimiz cevap için hastalığın çıkışı nedenini doğru şekilde ele almak gerekir. Bu hastalık, vücudun bağışıklık sisteminin kendi dokularına saldırması sonucu ortaya çıkar. Lupus, iltihaba neden olabilir ve eklemler, cilt, böbrekler, kan hücreleri, beyin, kalp ve akciğer gibi birçok farklı vücut sistemi üzerinde etkili olabilir. Lupus, tedavi edilemez bir hastalıktır, ancak uygun tedavi ile semptomlar kontrol edilebilir ve yaşam kalitesi iyileştirilebilir. Lupus, kadınlarda erkeklere göre daha yaygındır. Lupus genellikle 15 ila 45 yaşları arasında teşhis edilir, ancak her yaşta ortaya çıkabilir.","Lupus, bağışıklık sisteminin vücudun kendi dokularına saldırdığı bir hastalıktır. Bu durum, vücudun her yerinde iltihaplanmaya ve hasara yol açabilir. Lupus, genellikle eklemleri, cildi, böbrekleri, kalbi, akciğerleri ve sinir sistemini etkiler.Lupus belirtilerive semptomları kişiden kişiye değişebilir ve hastalığın şiddetine bağlı olarak değişebilir."
Makoplasty,,
Mantar Hastalığı,"Mantar hastalığı, bir organizmanın vücudunda mantarların istilası ve çoğalması ile oluşan bir tür hastalıktır. Mantar hastalıkları, yüzeysel cilt enfeksiyonlarından başlayarak sistemik ve hayati tehlike arz eden durumlara kadar farklı şekillerde ortaya çıkabilir. İnsanlarda yaygın olan mantar enfeksiyonları arasında ayak, tırnak ve saç mantarı gibi yüzeysel mantarlar vardır. Daha ciddi vakalarda, sistemik mantar enfeksiyonları, özellikle zayıflamışbağışıklıksistemine sahip bireylerde iç organları etkileyebilir.","Mantar hastalığının belirtileri, ilgili mantar türüne ve etkilenen vücut bölgesine bağlı olarak değişebilir. Mantar hastalığı belirtileri şu şekilde sıralanabilir:"
Mastektomi,"Mastektomi nedir? sorusunu temel olarak; ""Mastektomi, meme dokusunun cerrahi olarak çıkarılması anlamına gelir"" şeklinde cevaplandırabiliriz. Mastektomi işlemi, genellikle meme kanseri tedavisinde kullanılsa da kimi durumlarda kanser riskini azaltmak amacıyla koruyucu önlem olarak da uygulanabilir.",
Meme Kanseri,"Meme kanseri, meme dokusundaki hücrelerin kontrolsüz bir şekilde çoğalması ve tümör oluşturmasıyla ortaya çıkan bir hastalıktır. Bu anormal hücreler, zamanla meme dokusunun dışına yayılabilir ve vücudun diğer bölgelerine sıçrayabilir. Meme kanseri, kadınlarda en sık görülen kanser türlerinden biridir ve erken teşhis edildiğinde başarıyla tedavi edilebilir. Risk faktörleri arasında genetik yatkınlık, hormonlar, yaş, yaşam tarzı faktörleri ve çevresel faktörler sayılabilir.","Meme kanseri, kadınlarda sık görülen bir hastalık olup, erken teşhis edildiğinde başarılı tedavi şansı oldukça yüksektir. Bu nedenle,meme kanseri belirtilerihastalığın gelişimini görmek için çok önemlidir. Memede ele gelen ağrısız sert kitle"
Meme Rekonstrüksiyonu,"Meme rekonstrüksiyonu, meme dokusunun veya tamamının cerrahi yöntemlerle yeniden oluşturulması veya şekillendirilmesidir. Genelliklememe kanseritedavisi sonrasında mastektomi (memenin cerrahi olarak çıkarılması) geçiren kadınlar için uygulanan bir cerrahi prosedürdür. Amaç, meme kanseri veya başka bir hastalık nedeniyle kaybedilen memeyi yeniden oluşturarak estetik olarak ve psikolojik olarak hastanın iyileşmesine katkıda bulunmaktır.",
Menenjit,"Menenjit hastalığını en iyi önlemenin yollarından biri aşılamadır, ama önlem için erken davranmak önemlidir. Çünkü bebeklerin bağışıklığı düşük olduğundan ve sık solunum yolu enfeksiyonları yaşadıklarından menenjite yakalanma ihtimali daha yüksektir. u sebeple bebeklikte yapılan aşılar arasında menenjit aşısı da yer alır.","Menenjit genelde akut olarak oluşur ve hızlı bir şekilde belirti vermeye başlar. Menenjit belirtileri şöyle listelenebilir: Baş Ağrısı:Şiddetli baş ağrısı, menenjit hastalarının en sık karşılaştığı belirtilerden biridir ve giderek kötüleşen bir ağrıdır.Yüksek Ateş:Menenjit hastalarında yaygın görülen ateş yükselmesi, hastanın vücut sıcaklığının 38°C ve üzerine çıkmasına neden olabilir.Boyun Tutulması (Ense Sertliği):Menenjit nedeniyle meninkslerin iltihaplanması sonucu boynu hareket ettirmekte zorlanma, boyunda ağrı veya sertlik yaşanabilir.Işığa Karşı Duyarlılık (Fotofobi):Menenjitli kişiler genelde ışığa karşı hassasiyet geliştirir ve fazla ışıkta rahatsızlık veya ağrı hissedebilirler.Bulantı ve Kusma:Menenjit hastalarında baş ağrısı ile birlikte genelde mide bulantısı ve kusma belirtileri de eşlik eder.Halsizlik ve İştahsızlık:Hastalarda genelde vücutlarında halsizlik hissetme ve iştahsızlıktan kaynaklı enerji kaybı meydana gelebilir.Deri Döküntüleri:Özellikle meningokok bakterisi nedeni ile basınca karşı solmayan, mor renkte karakteristik döküntüler meydana gelebilir.Bilinç Bulanıklığı:Şiddetli menenjit vakalarında kişi hafif zihinsel bulanıklığı yaşayabilir, daha ciddi durumlarda ise bayılma veya koma bile görülebilir."
Menisküs,Diz bölgesinde 3 önemli kemik bulunur. Bu kemiklerin uçları menisküs adı verilen kıkırdak bir yapı ile kaplıdır. Bu kıkırdak yapı kemiğe baskılar karşısında yastık görevi yapan ve eklemin ağrısız bir şekilde kolayca hareket etmesini sağlayan pürüzsüz bir dokudur. Bu kıkırdak yapı aynı zamanda bacağın alt kısmını vücudun geri kalan kısmının ağırlığından korumak için amortisör görevi de görür. Bu kıkırdak yapıda meydana gelen yırtıkmenisküs yırtığıolarak adlandırılır.,"Menisküs, diz bölgesinde hissedilen rahatsızlık ve acı veren bir durumdur. Yaygın görülenmenisküs belirtilerişunlardır: Özellikle dizleri bükerken veya döndürürken ağrıŞişlik veya SertlikKilitlenme HissiZorlanma ve Hareket KısıtlılığıÇatırtı Sesleri"
Mesane Kanseri,"Mesane kanseri, idrar torbasının iç yüzeyini kaplayan ürotelyal hücrelerin (geçiş epiteli) kontrolsüz çoğalmasıyla ortaya çıkan kötü huylu bir hastalıktır. Bu hücreler, idrarda çözünen kimyasallarla uzun süre temasta kaldıkları için DNA hasarı gelişme riski diğer vücut dokularına kıyasla yüksektir.","Mesane kanseri belirtileri, hastalığın evresine ve tümörün yerleşimine göre farklılık gösterebilir. Genellikle ilk fark edilen belirti idrarda ağrısız kanamadır; bu durum gözle görülür olabileceği gibi yalnızca tahlille de saptanabilir. Ağrısız parlak kırmızı hematüri (idrarın kanla boyanması)Mikroskobik düzeyde gizli kanama (tesadüfi idrar tahlilinde, hastanın hiçbir şikâyeti yokken saptanabilir)"
Mide Ağrısı,"Mide ağrısı, karnın üst kısmında, kaburgaların hemen altında hissedilen keskin veya kramp şeklindeki ağrıdır. Mide ağrısının birçok nedeni vardır. En yaygın nedenleri arasında ülser, gastrit, gastroözofageal reflü hastalığı (GÖRH) ve mide ekşimesi bulunur.",
Mide Kanaması,,
Mide Kanseri,,Mide kanseri erken evrelerinde genellikle belirti vermez ve hastaların fark etmesi zor olabilir. Fakat hastalık ilerledikçe bazı belirtiler ortaya çıkabilir.Mide kanseri belirtisiher bireyde farklılık gösterebilir ve diğer mide rahatsızlıkları ile benzerdir. Fakatmide kanserinin en kritik belirtisiiştah kaybı ve beklenmedik hızlı kilo kaybıdır. Bu belirtiler kanserin yayıldığını gösterebilir. 
Mide Ülseri,Midenin iç yüzeyini güçlü mide asidinden korumak için mukus salgılanır ve mide yüzeyi tümüyle bu mukusla kaplanır. Bu mukus katmanı belirli aralıklarla yenilenerek midenin hasar almasının önüne geçilir. Bazı durumlarda bu mukus katmanı incelir veya mide asidi bu katmanı eriterek mide yüzeyine ulaşır. Mide asidinin mideyle temas etmesi tahrişe ve yaralara sebep olmaktadır. Bu yaralar mide ülseri olarak bilinmektedir.Ülsersadece mide içerisinde değil on iki parmak bağırsağının üst kısımlarında da görülebilir.,"Mide yarası, mide içindeki mukozal dokuda meydana gelen yaralar ve lezyonlar sonucunda ortaya çıkan rahatsız edici bir durumdur.Mide yarası ve belirtilerikişilere günlük aktivitelerinde zorluk verebilir. En yaygın semptom, karnın ortasında meydana gelen yanma hissi veya şiddetli ağrıdır. Mide boş olduğunda ağrı daha yoğun olabilir ve birkaç dakikadan birkaç saate kadar sürebilir. Yaranın durumuna göre semptomlar ağırlaşabilir. Bazı kişilerde ağrı görülmeyebilir. Kilo kaybıAğrıdan dolayı yemek istememekMide bulantısı veya kusmaŞişkinlikKolayca oluşan tokluk hissiGeğirmeGöğüste yanma hissi ile beraber oluşan mide yanmasıYeme içme sırasında ağrı"
Mide Üşütmesi,"Mide üşütmesi, mide ve bağırsakların enfekte olması veya tahrişi sonucu iltihaplanması durumunda ortaya çıkar. Genellikle virüsler (örneğin norovirüs veya rotavirüs), bakteriler (örneğinsalmonellaveya E. coli) veya parazitler nedeniyle meydana gelir. Bununla birlikte, mide üşütmesi aynı zamanda kötü hijyen uygulamaları veya tehlikeli bakterilerle teması olan yiyeceklerin tüketilmesi sonucu da olabilir. Mide üşütmesi, mide ve bağırsaklardaki enfeksiyonun neden olduğu belirtilerle kendini gösterir. Bu belirtiler arasında mide ağrısı, ishal, kusma, bulantı ve ateş bulunabilir. Genellikle mide üşütmesi ""mide gribi"" olarak adlandırılır, ancak bu durum gerçek grip (influenza) ile karıştırılmamalıdır, çünkü bu iki rahatsızlık farklı nedenlerle ortaya çıkar.","Mide üşütmesinin belirtileri, mide rahatsızlığına bağlı olarak değişebilir. Mide yanması, mide ağrısı, hazımsızlık, şişkinlik, mide bulantısı, kusma ve ağızda acı tadı hissetme bu belirtilerden bazılarıdır. Bu belirtiler kişiden kişiye farklılık gösterebilir ve şiddeti değişebilir. İshal:İshal, sulu veya yumuşak dışkılama ile karakterizedir ve sık sık tuvalete gitme ihtiyacı yaratır.Kusma: Şiddetli mide bulantısı sonucu kusma meydana gelebilir.Mide Ağrısı: Mide ve karın bölgesinde ağrı veya rahatsızlık hissi vardır.Bulantı: Genellikle kusmadan önce veya sonra meydana gelir.Ateş: Vücut sıcaklığında artış olabilir.Halsizlik: Genellikle enerji eksikliği vehalsizlikhissi yaşanır.İştah Kaybı: Mide üşütmesi sırasında iştah kaybı yaygın bir belirtidir."
Migren,,"Migrenin ana belirtisi baş ağrısıdır.Migren belirtileriherkeste aynı şekilde ortaya çıkmayabilir. Ancak yaygın olarak migren şu şekilde kendini gösterebilir: Mide bulantısı ve kusma,İştahsızlık,Aşırı terleme veya üşümek,Yorgunluk,Soluk cilt,Işık, ses ve kokulara duyarlılık,Karın ağrısı,Baş dönmesi,Bulanık veya çift görme,Yüksek ateş (nadiren),İshal (nadiren)."
Miyom,"Miyomlar, rahmin kas tabakasından kaynaklanan iyi huylu tümörlerdir. Genellikle rahimde bulundukları yere göre sınıflandırılırlar. Miyomun tipi, yarattığı belirtileri ve tedavi yöntemlerini etkileyebilir.","Miyomların belirtileri kişiden kişiye değişebilir, ancak yaygın belirtiler şunları içerebilir: AğıradetkanamalarıAdet dönemi dışında vajinal kanamaPelvik ağrı veya basınçSık idrara çıkmaKabızlıkSırt ağrısıİşeme güçlüğüİnfertilite (kısırlık)"
Multiple Skleroz (MS),,"MS belirtileri, hastalığın hangi bölgeleri etkilediğine bağlı olarak değişir. Atakların sıklığını ve şiddetini azaltmakHastalığın ilerlemesini yavaşlatmakEngelliliği önlemek veya geciktirmekSemptomları yönetmek ve yaşam kalitesini iyileştirmek."
Nezle,"Nezle nedir?, sorusunun cevabı kısaca genellikle rhinovirüsler gibi virüslerin neden olduğu bulaşıcı bir solunum yolu enfeksiyonudur denilebilinir. Burun ve boğazın mukoz membranlarını etkileyen bu hastalık, hapşırma, öksürme veya virüsle kirlenmiş yüzeylere dokunma yoluyla bulaşır. Belirgin semptomları arasında burun tıkanıklığı, akıntısı, hapşırma, boğaz ağrısı, baş ağrısı, kas ve eklem ağrıları, yorgunluk ve hafif ateş bulunur. Nezle genellikle hafif seyir gösterir ve 7 ila 10 gün içinde kendiliğinden iyileşir, ancak bazen daha ciddi komplikasyonlara yol açabilir, özellikle bağışıklık sistemi zayıf olan bireylerde.","Nezle, genellikle hafif ila orta derecede şiddetli semptomlarla kendini gösteren bir solunum yolu enfeksiyonudur.Nezle belirtilerişunları içerebilir:"
Obezite,"Obezite, vücutta aşırı yağ birikimi nedeniyle meydana gelen bir sağlık durumudur. Yetersiz fiziksel aktivite, aşırı kalori alımı ve genetik faktörlerle bağlantılıdır. Obezitenin tedavi yöntemleri arasında sağlıklı bir diyet, düzenli egzersiz, yaşam tarzı değişiklikleri, kilo kaybını teşvik eden ilaçlar ve bariatrik cerrahi bulunabilir. Tedavi, kişinin obezite düzeyine, sağlık durumuna ve kişisel hedeflerine göre özelleştirilir.Obezite tedavisi, kilo kaybını teşvik etmek ve obezite ile ilişkili sağlık sorunlarını azaltmak amacıyla yapılır.","Obezite belirtileriarasında en belirgin olanı fazla kilo alımıdır. Bununla birlikte, obezite aşağıdaki belirtilerle de kendini gösterebilir: fiziksel aktivitelerde zorlanma, nefes darlığı, yorgunluk hissi, eklem ağrıları,uyku apnesi, insülin direnci vetip 2 diyabetriskinin artması gibi sağlık sorunlarına yol açabilir. Ayrıca,obezite kalp hastalığı, yüksek tansiyon, kanser ve psikolojik sorunlar gibi ciddi komplikasyonlara da neden olabilir. Mide küçültme:Mide küçültme, midenin boyutunu küçülterek alınan kalori miktarını azaltan bir cerrahi yöntemdir.Mide by-pass:Mide by-pass, midenin bir kısmının bypass edilerek ince bağırsağa doğrudan bağlandığı bir cerrahi yöntemdir. Bu yöntem, midenin hacmini küçültür ve besinlerin emilimini azaltır.Gastrik balon:Gastrik balon, mide içine yerleştirilen ve midenin hacmini küçülten bir balondur. Bu yöntem, kilo vermeye yardımcı olur ve obezitenin yol açtığı sağlık sorunlarının riskini azaltır."
Obsesif Kompulsif Bozukluk,,
Orta Kulak İltihabı,"Orta kulak iltihabı, kulak zarının arkasında sıvı birikmesi ile karakterize bir enfeksiyondur. Orta kulak enfeksiyonları genellikle Östaki borusu adı verilen bir kanalın işlev bozukluğu sonucu oluşur. Östaki borusu, orta kulağı boğaz bölgesiyle bağlayan bir kanaldır. Bu tüpün düzgün çalışmaması durumunda, orta kulaktaki sıvının normal şekilde drene olması engellenir, böylece kulak zarının arkasında sıvı birikir. Bu sıvı birikimi orta kulakta iltihaplanma ve enfeksiyona neden olabilir. Orta kulak iltihabı belirtileri kulak ağrısı, ateş ve işitme kaybı gibi belirtilerdir. Her yaştaki bireyi etkileyebilir. Ancak 6 ila 15 ay arasındaki bebeklerde orta kulak iltihabı belirtileri genellikle daha yaygındır.","Otitis media veya orta kulak iltihabının belirtileri, enfeksiyonun türüne ve şiddetine bağlı olarak değişebilir. Otitis media vakalarında görülen en yaygın belirtiler şunlardır: Kulak AğrısıHuysuzlukKulağı Çekme veya KaşımaUyku SorunlarıAteşİşitme SorunlarıDenge KaybıKulaktan Sıvı Akması"
Osteoporoz,"Osteoporoz olarak bilinenkemik erimesi, kemiklerin olması gerektiğinden daha zayıf ve daha az yoğun yapıda olmasıdır. Kemikler zayıfladığından dolayı kemiklerde kırıkların gelişme riski yüksek olabilir. Kemik kırıklarının yaygın olarak görüldüğü kemikler kalça, bilekler ve omurgada bulunur. Normal kemikler vücut ağırlığını taşıyabilir ve destekleyebilir. Yoğun ve güçlü olan kemikler çoğunlukla darbeyi emebilir ve etkiyi hafifletebilir. Yaşlanma ile kemiklerin yenilenme yetenekleri ve güçleri azalma eğilimindedir. Bu nedenle yaşlandıkça kemikler normalden daha kırılgan hale gelebilir. Osteoporoz genellikle sessiz ilerleyen bir sağlık sorunudur. Çoğunlukla vücutta kemik kırılmaları görülmedikçe osteoporozdan şüphelenilmez. Bu nedenle osteoporozun erken evrelerinde teşhis önemlidir ve kemik kırıkları riskinin azaltılmasını sağlayabilir.",
Öksürük,,
Pankreas Kanseri,"Pankreas kanseri nedir? sorusunun cevabı için hastalık belirtilerini incelemek gerekmektedir. Hastalık ilerledikçe, pankreas kanseri iştahsızlık, kilo kaybı, karın veya sırt ağrısı, sarılık (gözlerde ve ciltte sararma) gibi belirtilerle kendini gösterebilir. Pankreasın hem sindirim hem de kan şekeri düzenlemesindeki işlevlerinden dolayı, bu kanser türü vücudun genel metabolik dengesini de etkileyebilir. Tedavi, kanserin evresine, pankreastaki yerine ve hastanın genel sağlık durumuna bağlı olarak cerrahi, kemoterapi, radyoterapi veya hedefe yönelik tedavileri içerebilir. Ancak pankreas kanseri genellikle geç evrede teşhis edildiğinden, tedavi süreci zorlu olabilir ve multidisipliner bir yaklaşım gerektirir.",
Parkinson Hastalığı,"Beyin sapında bulunan substansiya nigra bölümünün hasarı sonucunda dopamin salgılayan hücrelerin kaybı ile ortaya çıkan bir hastalıktır. Belirtiler substansiya nigra bünyesindeki hücrelerin en az %60-80’inin kaybolması ile ortaya çıkar.Parkinsonhastalığı, erkeklerde kadınlardan daha sık rastlanan bir rahatsızlık türüdür.",
Prostat Biyopsisi,"Prostat kanserierkekler arasında en sık görülen kanser türlerinden biridir. Fakat erken teşhis edildiğinde uygun şekilde tedavi edilebilir. Prostat kanserinin tedavisi içinprostat neden olur? sorusunun cevabı verilerek hastalığın gelişim faktörleri ele  alınmalıdır. Prostat kanseri, prostat bezinde bulunan hücrelerin kontrolsüz bir şekilde çoğalması sonucu oluşur. Prostat bezi, erkeklerde idrar torbasının altında bulunan, yaklaşık ceviz büyüklüğünde bir organdır.Prostat bezi, spermin beslenmesine yardımcı olan seminal sıvıyı üretir.",
Prostat Kanseri,"Erkeklerde prostat bezinde meydana gelen kötü huylu tümör,prostat kanseri nedirsorusu için en basit yanıt olabilir. Prostat bezi, mesanenin alt kısmında yer alır. Erkek üreme sisteminin bir parçasıdır. Testosteron hormonunun salgılanmasını sağlar. Sperm hücreleri de prostat sayesinde canlılığını korur. Prostatta kötü huylu tümörlerin oluşmasıyla kanser hastalığı ile karşı karşıya kalınır. Bu durum üreme sistemine de büyük oranda zarar verir.",
Rahim Ağzı Kanseri,"Rahim ağzıtıp literatüründe bilinen ismiyle serviks rahmin altında bulunan dar kısımdır. Rahim boynu olarak da bilinen serviks rahim ile vajina arasında bağlantı kuran kısımdır. Doğum sırasında incelerek açılan serviksin en önemli görevlerinden bir tanesi rahmi dışarıdan gelen enfeksiyonlara karşı korumasıdır. Rahim ağzı kanseri rahmin alt kısmında bulunan hücrelerin anormal ve kontrolsüz şekilde çoğalmasına bağlı görülen bir kanserdir. Rahim ağzı kanseri, kanserin başladığı hücreye göre skuamöz hücreli karsinom ve adenokarsinom olmak üzere iki alt sınıfta incelenir. Skuamöz hücreli karsinom rahim ağzının dış kısmındaki hücrelerde başlarken adenokarsinomun kökeni rahim ağzı kanalındaki hücrelerdir.","Rahim ağzı kanseri, kadınlarda sık görülen bir kanser türüdür.Rahim ağzı kanseri belirtileri nelerdirsorusunun cevabını bilmek, sağlığınızı korumak adına büyük önem taşır.Rahim ağzı kanseri belirtileri, erken ve ileri evrelerde farklı şekillerde ortaya çıkabilir.  Hastalar ve hasta yakınlarınınrahim ağzı kanseri belirtileri nelerdir en önemli 3 belirtisorusunun cevapları şöyledir: Anormal Vajinal Kanama:En sık görülen belirtilerden biridir. Adet dönemi dışında veya menopoz sonrası kanama, adet kanamasının normalden daha uzun sürmesi veya daha yoğun olması gibi durumlar anormal kanama olarak değerlendirilir.Cinsel İlişki Sonrası Kanama:Cinsel ilişkiden sonra hafif kanama veya lekelenme olması, rahim ağzı kanserinin erken belirtilerinden biri olabilir.Anormal Vajinal Akıntı:Normalden farklı renkte, kokuda veya kıvamda vajinal akıntı da erken evrerahim ağzı kanseri belirtisiolabilir.Pelvik Ağrı:Bazı kadınlar erken evrede hafif pelvik ağrı hissedebilirler."
Reflü,Reflü olarak bilinen “Gastroözefageal reflü” mide asit içeriğinin yemek borusuna geri kaçması sonucu oluşan sağlık sorunudur. Yemek borusu ve midenin bağlandığı kısımda mide içeriğinin yukarı çıkmasını engellemek için bir kapakçık bulunur. Bu kapakçık alt özefagus sfinkteri olarak adlandırılır ve mide sıvılarının yemek borusuna geri dönmesini önleyerek midede kalmasına yardımcı olur. Yemek borusu kaslarının çeşitli nedenlerle işlevini yerine getirememesi sonucu mide asidi yemek borusuna sızabilir. Yemek borusu sfinkteri gevşediğinde veya zayıfladığında reflü oluşma olasılığı artabilir.,"Reflü asidin mide ve yemek borusunda yanma ve ekşimelere neden olması durumudur. Bununla birlikte gastroözefageal reflü hastalığının oluşması ek semptomların görülmesine yol açabilir. Gastroözefageal reflü hastalığının en yaygın diğer semptomları şunlar olabilir: Göğüste yanma ve ağrı (mide ekşimesi),Yemeklerin yemek borusuna ve ağza geri gelmesi,Boğazda dolgunluk hissi,Yutma problemleri,Boğaz ağrısı,Kusma."
